date,cas_confirmes,deces,reanimation,hospitalises,gueris
2020-01-24,3,0.0,,3.0,
2020-01-27,3,0.0,0.0,3.0,0.0
2020-01-28,4,0.0,1.0,4.0,0.0
2020-01-29,5,0.0,2.0,5.0,0.0
2020-01-30,6,0.0,2.0,6.0,0.0
2020-01-31,6,0.0,2.0,6.0,0.0
2020-02-02,6,0.0,1.0,6.0,0.0
2020-02-03,6,0.0,1.0,6.0,0.0
2020-02-04,6,0.0,1.0,6.0,0.0
2020-02-05,6,0.0,1.0,6.0,0.0
2020-02-07,6,0.0,1.0,6.0,0.0
2020-02-08,11,0.0,1.0,11.0,0.0
2020-02-09,11,0.0,1.0,11.0,0.0
2020-02-10,11,0.0,1.0,11.0,0.0
2020-02-12,11,0.0,1.0,9.0,2.0
2020-02-13,11,0.0,1.0,8.0,3.0
2020-02-15,12,1.0,,7.0,4.0
2020-02-17,12,1.0,,,
2020-02-19,12,1.0,,4.0,7.0
2020-02-21,12,1.0,,1.0,10.0
2020-02-23,12,1.0,,1.0,10.0
2020-02-24,12,1.0,,,11.0
2020-02-25,14,1.0,,2.0,11.0
2020-02-26,18,2.0,,4.0,12.0
2020-02-27,38,2.0,2.0,24.0,12.0
2020-02-28,57,,,,
2020-02-29,100,2.0,9.0,86.0,12.0
2020-03-01,130,2.0,9.0,116.0,12.0
2020-03-02,191,3.0,,,
2020-03-03,212,4.0,,,12.0
2020-03-04,285,4.0,15.0,,
2020-03-05,423,7.0,23.0,,
2020-03-06,613,9.0,39.0,,
2020-03-07,949,16.0,45.0,,
2020-03-09,1412,25.0,66.0,,
2020-03-10,1784,33.0,86.0,,
2020-03-11,2281,48.0,105.0,,
2020-03-12,2876,61.0,129.0,,
2020-03-14,4500,91.0,300.0,,
2020-03-15,5423,127.0,,400.0,
2020-03-17,7730,175.0,699.0,2579.0,602.0
2020-03-18,9134,264.0,931.0,3626.0,1000.0
2020-03-19,10995,372.0,1122.0,4461.0,1300.0
2020-03-20,12612,450.0,1297.0,5226.0,1587.0
2020-03-21,14459,562.0,1525.0,6172.0,
2020-03-22,16689,674.0,1746.0,7240.0,2200.0
2020-03-23,19856,860.0,2082.0,8675.0,
2020-03-24,22300,1100.0,2516.0,10176.0,3281.0
